,Date,Minutepassed,Adj Close,Volume,VolumeSpeed,VolumeSpeed_vs_mean,Volume_change,Price_change,Volume_speed_acceleration,VolumeC_per_PriceC
0,2022-04-22,-2.766666666666667,2392.7099609375,2841400.0,-1033236.3636363636,-227.3609000828178,1e-06,1e-06,0.0,1.0
1,2022-04-22,-2.75,2392.7099609375,2841400.0,-1033236.3636363636,-228.74724703454228,1e-06,1e-06,0.0,1.0
2,2022-04-22,-2.4166666666666665,2392.7099609375,2841400.0,-1175751.7241379311,-258.721024232172,1e-06,1e-06,-427546.0815047023,1.0
3,2022-04-22,-2.1666666666666665,2392.7099609375,2841400.0,-1311415.3846153847,-288.57345010511494,1e-06,1e-06,-542654.6419098144,1.0
4,2022-04-22,-1.9166666666666667,2392.7099609375,2841400.0,-1482469.5652173914,-329.07498696197314,1e-06,1e-06,-684216.722408027,1.0
5,2022-04-22,-1.6666666666666667,2392.7099609375,2841400.0,-1704840.0,-375.14548513664937,1e-06,1e-06,-889481.7391304346,1.0
6,2022-04-22,-1.4166666666666663,2392.7099609375,2841400.0,-2005694.117647059,-446.6017680198207,1e-06,1e-06,-1203416.470588234,1.0
7,2022-04-22,-1.1666666666666663,2392.7099609375,2841400.0,-2435485.7142857146,-535.9221216237848,1e-06,1e-06,-1719166.386554622,1.0
8,2022-04-22,-0.9166666666666666,2392.7099609375,2841400.0,-3099709.090909091,-682.0827002484534,1e-06,1e-06,-2656893.506493509,1.0
9,2022-04-22,-0.6666666666666667,2392.7099609375,2841400.0,-4262099.999999999,-937.8637128416232,1e-06,1e-06,-4649563.636363635,1.0
10,2022-04-22,-0.4166666666666666,2392.7099609375,2841400.0,-6819360.000000001,-1500.5819405465977,1e-06,1e-06,-10229040.0,1.0
11,2022-04-22,-0.1666666666666666,2392.7099609375,2841400.0,-18942666.666666664,-4168.283168184992,1e-06,1e-06,-48493226.666666664,1.0
12,2022-04-25,0.1,2384.0,43807.0,438070.0,100.30280759573046,-98.45826001266981,-0.3640207580398631,72677762.5,270.4743008141526
13,2022-04-25,0.35,2374.989990234375,96341.0,262748.1818181818,60.48488296542488,119.92147373707398,-0.3779366512426594,-701287.2727272728,317.305753074678
14,2022-04-25,0.6166666666666667,2381.514892578125,117182.0,190024.86486486485,42.288377474034135,21.632534434975764,0.2747338881670862,-272712.43857493857,78.73995661510604
15,2022-04-25,0.8666666666666667,2381.679931640625,120084.0,138550.38461538462,30.83267119360277,2.4764895632435016,0.006930003377864072,-205897.9209979209,357.35762714834226
16,2022-04-25,1.1333333333333333,2381.3798828125,122356.0,107961.17647058824,24.0824048419585,1.8920089270843745,-0.012598201132690015,-114709.53054298648,150.18087956819164
17,2022-04-25,1.3833333333333335,2386.68505859375,127710.0,91221.42857142858,20.299314393121094,4.375755990715616,0.22277738295934485,-66958.99159663857,19.64183227484164
18,2022-04-25,1.65,2391.0830078125,134701.0,81622.42424242424,17.984122307966796,5.474121055516404,0.18427019530349342,-35996.26623376631,29.707034534263745
19,2022-04-25,1.9166666666666663,2387.590087890625,138265.0,72138.26086956523,16.051810130835076,2.6458600901255376,-0.14608108168818965,-35565.61264822132,18.112270661940546
20,2022-04-25,2.183333333333333,2385.25,142096.0,65082.13740458016,14.481403708974732,2.77076628213937,-0.0980104542439447,-26460.46299369401,28.270109586912298
21,2022-04-25,2.4333333333333336,2387.64990234375,144570.0,59412.32876712328,13.129700513350697,1.7410764553541267,0.10061428964469132,-22679.234549827455,17.30446501687338
22,2022-04-25,2.7,2394.179931640625,148228.0,54899.259259259255,12.153259365042826,2.530262156740679,0.2734919089463256,-16924.010654490106,9.251689260164762
23,2022-04-25,2.9833333333333334,2394.68994140625,150611.0,50484.134078212286,11.232661380080556,1.607658472083547,0.02130206501545241,-15582.79475663637,75.46960686287267
24,2022-04-25,3.2333333333333334,2391.18505859375,153605.0,47506.70103092784,10.515800271449656,1.9879026100351236,-0.1463606102776631,-11909.73218913778,13.582224112511154
25,2022-04-25,3.5,2391.594970703125,154681.0,44194.57142857143,9.786410697009194,0.7004980306630644,0.017142634272567275,-12420.486008836555,40.862916371263054
26,2022-04-25,3.7666666666666666,2390.14990234375,160747.0,42699.02654867257,9.499929956304577,3.9216193326911517,-0.060422788017076,-5608.293299620719,64.90298546937073
27,2022-04-25,4.016666666666667,2392.780029296875,168018.0,41657.35537190083,9.267792965876962,4.523257043677331,0.110040251054795,-4166.68470708697,41.10547731688614
28,2022-04-25,4.283333333333333,2395.989990234375,169816.0,39645.75875486381,8.785982323724678,1.0701234391553287,0.13415194452468143,-7543.487313888811,7.976950635690906
29,2022-04-25,4.55,2394.22998046875,172821.0,37909.01098901099,8.433658540251278,1.769562349837471,-0.07345647405867653,-6512.804121948086,24.089944045285332
30,2022-04-25,4.8,2394.6298828125,174901.0,36437.708333333336,8.078175360283305,1.2035574380428304,0.016702753996577467,-5885.210622710612,72.05742467915466
31,2022-04-25,5.066666666666666,2402.469970703125,182032.0,35969.01315789474,7.992365165118015,4.077163652580603,0.3274029087708867,-1757.6069078947335,12.45304651655909
32,2022-04-25,5.333333333333332,2411.364990234375,187070.0,35085.18750000001,7.804787912040296,2.767645249186956,0.3702447747410019,-3314.3462171052606,7.475177066639259
33,2022-04-25,5.6,2410.280029296875,191326.0,34242.5,7.6171284995088895,2.275084193082803,-0.04499364226875278,-3160.0781250000173,50.56457042293741
34,2022-04-25,5.866666666666667,2414.419921875,194129.0,33090.17045454545,7.36160612881708,1.4650387297074103,0.1717598174404941,-4321.235795454554,8.529577822909427
