Date,Cpi,Jclaim,Int_rate,Stock_price,Inf,Cboe,Gold,Oil,Bitcoin,Dollar
2020-12-18,261.564,886000.0,0.9480000138282776,3709.409912109375,1.95,21.56999969482422,1885.699951171875,49.099998474121094,23137.9609375,90.0199966430664
2020-12-21,261.564,815000.0,0.9409999847412109,3694.919921875,1.95,25.15999984741211,1879.199951171875,47.7400016784668,22803.08203125,90.04000091552734
2020-12-22,261.564,815000.0,0.9179999828338623,3687.260009765625,1.94,24.229999542236328,1866.5999755859375,47.02000045776367,23783.029296875,90.6500015258789
2020-12-23,261.564,815000.0,0.9549999833106995,3690.010009765625,1.97,23.309999465942383,1874.699951171875,48.119998931884766,23241.345703125,90.41000366210938
2020-12-24,261.564,815000.0,0.9279999732971191,3703.06005859375,1.97,21.530000686645508,1879.9000244140625,48.22999954223633,23735.94921875,90.33000183105469
2020-12-28,261.564,773000.0,0.9330000281333923,3735.360107421875,1.97,21.700000762939453,1877.199951171875,47.619998931884766,27084.80859375,90.33999633789062
2020-12-29,261.564,773000.0,0.9350000023841858,3727.0400390625,1.96,23.079999923706055,1879.699951171875,48.0,27362.4375,90.01000213623047
2020-12-30,261.564,773000.0,0.9259999990463257,3732.0400390625,1.96,22.770000457763672,1891.0,48.400001525878906,28840.953125,89.62999725341797
2020-12-31,261.564,773000.0,0.9169999957084656,3756.070068359375,1.99,22.75,1893.0999755859375,48.52000045776367,29001.720703125,89.94000244140625
2021-01-04,262.2,803000.0,0.9169999957084656,3700.64990234375,2.01,26.969999313354492,1944.699951171875,47.619998931884766,31971.9140625,89.87999725341797
2021-01-05,262.2,803000.0,0.9549999833106995,3726.860107421875,2.03,25.34000015258789,1952.699951171875,49.93000030517578,33992.4296875,89.44000244140625
2021-01-06,262.2,803000.0,1.0420000553131104,3748.139892578125,2.06,25.06999969482422,1906.9000244140625,50.630001068115234,36824.36328125,89.52999877929688
2021-01-07,262.2,803000.0,1.0709999799728394,3803.7900390625,2.09,22.3700008392334,1912.300048828125,50.83000183105469,39371.04296875,89.83000183105469
2021-01-08,262.2,803000.0,1.1050000190734863,3824.679931640625,2.06,21.559999465942383,1834.0999755859375,52.2400016784668,40797.609375,90.0999984741211
2021-01-11,262.2,890000.0,1.1319999694824219,3799.610107421875,2.06,24.079999923706055,1849.5999755859375,52.25,35566.65625,90.54000091552734
2021-01-12,262.2,890000.0,1.1380000114440918,3801.18994140625,2.08,23.329999923706055,1842.9000244140625,53.209999084472656,33922.9609375,90.05000305175781
2021-01-13,262.2,890000.0,1.0880000591278076,3809.840087890625,2.06,22.209999084472656,1853.5999755859375,52.90999984741211,37316.359375,90.31999969482422
2021-01-14,262.2,890000.0,1.128999948501587,3795.5400390625,2.09,23.25,1850.300048828125,53.56999969482422,39187.328125,90.23999786376953
2021-01-15,262.2,890000.0,1.097000002861023,3768.25,2.1,24.34000015258789,1829.300048828125,52.36000061035156,36825.3671875,90.77999877929688
2021-01-19,262.2,844000.0,1.0920000076293945,3798.909912109375,2.1,23.239999771118164,1839.5,52.97999954223633,36069.8046875,90.5
2021-01-20,262.2,844000.0,1.090000033378601,3851.85009765625,2.12,21.579999923706055,1865.9000244140625,53.2400016784668,35547.75,90.47000122070312
2021-01-21,262.2,844000.0,1.1089999675750732,3853.070068359375,2.1,21.31999969482422,1865.300048828125,53.130001068115234,30825.69921875,90.12999725341797
2021-01-22,262.2,844000.0,1.090999960899353,3841.469970703125,2.09,21.90999984741211,1855.699951171875,52.27000045776367,33005.76171875,90.23999786376953
2021-01-25,262.2,799000.0,1.0399999618530273,3855.360107421875,2.08,23.190000534057617,1854.9000244140625,52.77000045776367,32366.392578125,90.38999938964844
2021-01-26,262.2,799000.0,1.0399999618530273,3849.6201171875,2.08,23.020000457763672,1850.699951171875,52.61000061035156,32569.849609375,90.16999816894531
2021-01-27,262.2,799000.0,1.0140000581741333,3750.77001953125,2.08,37.209999084472656,1844.9000244140625,52.849998474121094,30432.546875,90.6500015258789
2021-01-28,262.2,799000.0,1.0570000410079956,3787.3798828125,2.13,30.209999084472656,1837.9000244140625,52.34000015258789,33466.09765625,90.45999908447266
2021-01-29,262.2,799000.0,1.093000054359436,3714.239990234375,2.13,33.09000015258789,1847.300048828125,52.20000076293945,34316.38671875,90.58000183105469
