Date,Cpi,Jclaim,Int_rate,Stock_price,Inf,Cboe,Gold,Oil,Bitcoin,Dollar
2014-09-17,237.477,288000.0,2.5999999046325684,52.2760009765625,2.06,12.649999618530273,1234.4000244140625,94.41999816894531,457.3340148925781,84.69999694824219
2014-09-18,237.477,288000.0,2.628999948501587,52.763999938964844,2.02,12.029999732971191,1225.699951171875,93.06999969482422,424.44000244140625,84.31999969482422
2014-09-19,237.477,288000.0,2.5869998931884766,51.86399841308594,2.03,12.109999656677246,1215.300048828125,92.41000366210938,394.7959899902344,84.80000305175781
2014-09-22,237.477,295000.0,2.565999984741211,50.00600051879883,1.99,13.6899995803833,1216.800048828125,91.5199966430664,402.1520080566406,84.66999816894531
2014-09-23,237.477,295000.0,2.5350000858306885,50.082000732421875,2.02,14.930000305175781,1221.0,91.55999755859375,435.7909851074219,84.66000366210938
2014-09-24,237.477,295000.0,2.569000005722046,50.428001403808594,2.03,13.270000457763672,1218.5999755859375,92.80000305175781,423.2049865722656,85.05000305175781
2014-09-25,237.477,295000.0,2.510999917984009,49.38999938964844,2.02,15.640000343322754,1221.199951171875,92.52999877929688,411.5740051269531,85.19999694824219
2014-09-26,237.477,295000.0,2.5350000858306885,49.31999969482422,1.97,14.850000381469727,1214.0999755859375,93.54000091552734,404.42498779296875,85.63999938964844
2014-09-29,237.477,290000.0,2.490999937057495,49.051998138427734,1.95,15.979999542236328,1217.5,94.56999969482422,375.4670104980469,85.58999633789062
2014-09-30,237.477,290000.0,2.507999897003174,48.5359992980957,1.97,16.309999465942383,1210.5,91.16000366210938,386.9440002441406,85.94000244140625
2014-10-01,237.43,290000.0,2.4030001163482666,48.04800033569336,1.96,16.709999084472656,1214.5999755859375,90.7300033569336,383.614990234375,85.97000122070312
2014-10-02,237.43,290000.0,2.437999963760376,50.284000396728516,1.95,16.15999984741211,1214.199951171875,91.01000213623047,375.0719909667969,85.5999984741211
2014-10-03,237.43,290000.0,2.447000026702881,51.04199981689453,1.93,14.550000190734863,1192.199951171875,89.73999786376953,359.5119934082031,86.69000244140625
2014-10-06,237.43,293000.0,2.424999952316284,52.124000549316406,1.93,15.460000038146973,1206.699951171875,90.33999633789062,330.0790100097656,85.70999908447266
2014-10-07,237.43,293000.0,2.3499999046325684,51.91400146484375,1.92,17.200000762939453,1211.699951171875,88.8499984741211,336.18701171875,85.66999816894531
2014-10-08,237.43,293000.0,2.3299999237060547,51.85599899291992,1.96,15.109999656677246,1205.300048828125,87.30999755859375,352.94000244140625,85.30000305175781
2014-10-09,237.43,293000.0,2.3269999027252197,51.402000427246094,1.97,18.760000228881836,1224.5999755859375,85.7699966430664,365.0260009765625,85.5199966430664
2014-10-10,237.43,293000.0,2.306999921798706,47.38199996948242,1.96,21.239999771118164,1221.0,85.81999969482422,361.56201171875,85.91000366210938
2014-10-13,237.43,281000.0,2.2860000133514404,44.917999267578125,2.91,24.639999389648438,1229.300048828125,85.73999786376953,390.41400146484375,85.43000030517578
2014-10-14,237.43,281000.0,2.2060000896453857,45.4119987487793,1.92,22.790000915527344,1233.5999755859375,81.83999633789062,400.8699951171875,85.81999969482422
2014-10-15,237.43,281000.0,2.0899999141693115,45.939998626708984,1.86,25.270000457763672,1244.0999755859375,81.77999877929688,394.77301025390625,85.1500015258789
2014-10-16,237.43,281000.0,2.1530001163482666,45.27000045776367,1.89,25.200000762939453,1240.5,82.69999694824219,382.5559997558594,85.0
2014-10-17,237.43,281000.0,2.1989998817443848,45.49599838256836,1.92,21.989999771118164,1238.300048828125,82.75,383.75799560546875,85.19000244140625
2014-10-20,237.43,290000.0,2.180999994277954,46.09400177001953,1.91,18.56999969482422,1244.0,82.70999908447266,382.8450012207031,84.94999694824219
2014-10-21,237.43,290000.0,2.2079999446868896,47.06800079345703,1.9,16.079999923706055,1251.0,82.80999755859375,386.4750061035156,85.30999755859375
2014-10-22,237.43,290000.0,2.2290000915527344,46.220001220703125,1.91,17.8700008392334,1244.800048828125,80.5199966430664,383.1579895019531,85.73999786376953
2014-10-23,237.43,290000.0,2.2750000953674316,47.05799865722656,1.91,16.530000686645508,1228.5,82.08999633789062,358.4169921875,85.83999633789062
2014-10-24,237.43,290000.0,2.2730000019073486,47.04800033569336,1.9,16.110000610351562,1231.199951171875,81.01000213623047,358.3450012207031,85.7300033569336
2014-10-27,237.43,291000.0,2.256999969482422,44.33399963378906,1.89,16.040000915527344,1229.0999755859375,81.0,352.989013671875,85.5
2014-10-28,237.43,291000.0,2.2839999198913574,48.55400085449219,1.91,14.390000343322754,1229.199951171875,81.41999816894531,357.6180114746094,85.41000366210938
2014-10-29,237.43,291000.0,2.322999954223633,47.619998931884766,1.92,15.149999618530273,1224.300048828125,82.19999694824219,335.59100341796875,85.94999694824219
2014-10-30,237.43,291000.0,2.305000066757202,47.731998443603516,1.9,14.520000457763672,1198.0999755859375,81.12000274658203,345.30499267578125,86.1500015258789
2014-10-31,237.43,291000.0,2.3350000381469727,48.34000015258789,1.92,14.029999732971191,1171.0999755859375,80.54000091552734,338.3210144042969,86.87999725341797
2014-11-03,236.983,280000.0,2.3480000495910645,48.518001556396484,1.93,14.729999542236328,1169.4000244140625,78.77999877929688,327.5539855957031,87.30999755859375
2014-11-04,236.983,280000.0,2.3420000076293945,47.7859992980957,1.92,14.890000343322754,1167.4000244140625,77.19000244140625,330.49200439453125,86.9800033569336
2014-11-05,236.983,280000.0,2.3499999046325684,46.194000244140625,1.93,14.170000076293945,1145.4000244140625,78.68000030517578,339.4859924316406,87.44000244140625
2014-11-06,236.983,280000.0,2.375,48.24399948120117,1.94,13.670000076293945,1142.300048828125,77.91000366210938,349.2900085449219,88.01000213623047
2014-11-07,236.983,280000.0,2.312000036239624,48.040000915527344,1.94,13.119999885559082,1169.5999755859375,78.6500015258789,342.4150085449219,87.63999938964844
2014-11-10,236.983,291000.0,2.3589999675750732,48.38600158691406,1.94,12.670000076293945,1159.5999755859375,77.4000015258789,366.92401123046875,87.80999755859375
2014-11-11,236.983,291000.0,2.359999895095825,50.215999603271484,2.91,12.920000076293945,1162.800048828125,77.94000244140625,367.69500732421875,87.52999877929688
2014-11-12,236.983,291000.0,2.3589999675750732,49.81999969482422,1.91,13.020000457763672,1158.9000244140625,77.18000030517578,423.5610046386719,87.81999969482422
2014-11-13,236.983,291000.0,2.3469998836517334,50.34000015258789,1.88,13.789999961853027,1161.0999755859375,74.20999908447266,420.7349853515625,87.66999816894531
2014-11-14,236.983,291000.0,2.319999933242798,51.736000061035156,1.89,13.3100004196167,1185.0,75.81999969482422,397.8179931640625,87.52999877929688
2014-11-17,236.983,293000.0,2.3399999141693115,50.79600143432617,1.86,13.989999771118164,1183.0,75.63999938964844,387.4079895019531,87.93000030517578
2014-11-18,236.983,293000.0,2.322000026702881,51.540000915527344,1.84,13.859999656677246,1196.699951171875,74.61000061035156,375.197998046875,87.58000183105469
2014-11-19,236.983,293000.0,2.3510000705718994,49.54800033569336,1.83,13.960000038146973,1193.5999755859375,74.58000183105469,380.55499267578125,87.6500015258789
2014-11-20,236.983,293000.0,2.3350000381469727,49.742000579833984,1.85,13.579999923706055,1190.699951171875,75.58000183105469,357.8399963378906,87.58999633789062
2014-11-21,236.983,293000.0,2.315000057220459,48.555999755859375,1.86,12.899999618530273,1197.5,76.51000213623047,350.8479919433594,88.30999755859375
2014-11-24,236.983,303000.0,2.309999942779541,49.34400177001953,1.86,12.619999885559082,1195.5,75.77999877929688,376.9010009765625,88.1500015258789
2014-11-25,236.983,303000.0,2.259999990463257,49.61800003051758,1.85,12.25,1197.0999755859375,74.08999633789062,375.3479919433594,87.91999816894531
2014-11-26,236.983,303000.0,2.2339999675750732,49.6879997253418,1.82,12.069999694824219,1196.5999755859375,73.69000244140625,368.3699951171875,87.61000061035156
2014-11-28,236.983,303000.0,2.194000005722046,48.90399932861328,1.79,13.329999923706055,1175.199951171875,66.1500015258789,376.4469909667969,88.36000061035156
2014-12-01,236.252,291000.0,2.2179999351501465,46.327999114990234,1.79,14.15999984741211,1218.0,69.0,379.2449951171875,87.94999694824219
2014-12-02,236.252,291000.0,2.2850000858306885,46.2859992980957,1.77,12.850000381469727,1199.199951171875,66.87999725341797,381.31500244140625,88.6500015258789
2014-12-03,236.252,291000.0,2.2869999408721924,45.86000061035156,1.79,12.5,1208.5,67.37999725341797,375.010009765625,88.95999908447266
2014-12-04,236.252,291000.0,2.256999969482422,45.65599822998047,1.77,12.380000114440918,1207.5,66.80999755859375,369.60400390625,88.69999694824219
2014-12-05,236.252,291000.0,2.306999921798706,44.742000579833984,1.75,11.890000343322754,1190.0999755859375,65.83999633789062,376.85400390625,89.33000183105469
2014-12-08,236.252,291000.0,2.256999969482422,42.87200164794922,1.71,14.210000038146973,1194.699951171875,63.04999923706055,361.90899658203125,89.04000091552734
2014-12-09,236.252,291000.0,2.2200000286102295,43.37799835205078,1.73,15.350000381469727,1231.5,63.81999969482422,352.218994140625,88.69000244140625
2014-12-10,236.252,291000.0,2.1689999103546143,41.96799850463867,1.71,18.530000686645508,1228.9000244140625,60.939998626708984,346.364990234375,88.2699966430664
2014-12-11,236.252,291000.0,2.177999973297119,41.7760009765625,1.7,20.079999923706055,1225.0999755859375,59.95000076293945,350.5060119628906,88.66000366210938
2014-12-12,236.252,291000.0,2.1029999256134033,41.400001525878906,1.64,21.079999923706055,1222.0,57.810001373291016,352.5419921875,88.36000061035156
2014-12-15,236.252,286000.0,2.115999937057495,40.80799865722656,1.62,20.420000076293945,1207.199951171875,55.90999984741211,345.3450012207031,88.45999908447266
2014-12-16,236.252,286000.0,2.071000099182129,39.5620002746582,1.65,23.56999969482422,1193.9000244140625,55.93000030517578,327.06201171875,88.12999725341797
